name,address,suite,city,state,zip,phone,website,services,accreditation_summary,overall_confidence,accreditation_aaahc,accreditation_joint_commission,accreditation_quad_a,distance_miles,within_radius,evidence,notes
Blackhawk Surgery Center,3600 Blackhawk Plaza Circle,,Danville,CA,94506,,https://www.blackhawkplasticsurgery.com,"plastic surgery, cosmetic surgery",QUAD A (confirmed),confirmed,no,no,confirmed,5.72,True,The facility's website and Yelp listing explicitly state the Blackhawk Surgery Center is accredited by AAAASF (now QUAD A) and Medicare. No evidence found for AAAHC or Joint Commission accreditation.,"Fully accredited ambulatory surgery center (AAAASF and Medicare), on-site at Blackhawk Plastic Surgery & MedSpa"
Executive Surgery Center,1320 El Capitan Drive,Suite 100,Danville,CA,94526,(925) 866-9300,,"endoscopic surgery, general surgery",None / Unknown,unknown,unknown,unknown,unknown,4.86,True,"No accreditation information found despite searches across multiple sources; facility is Medicare-certified (CMS) and performs colonoscopy/endoscopy procedures, but no AAAHC, Joint Commission, or QUAD A accreditation was mentioned in available sources.",Medicare certified ASC with 2 operating rooms
Crow Canyon Surgical Center,1320 El Capitan Drive,Suite 100,Danville,CA,94526,(925) 413-0808,,,Joint Commission (likely),likely,unknown,likely,unknown,4.86,True,The facility appears to be Executive Surgery Center (also called Crow Canyon Surgery Center) at 1320 El Capitan Drive in Crow Canyon Medical Center. EBCVT practice website mentions their JCAHO-accredited practice at the Crow Canyon Medical Center location. No direct evidence found for AAAHC or QUAD A accreditation.,May share address with Executive Surgery Center - different phone number suggests separate entity
Danville Oral Surgery Center,380 Diablo Road,Suite 101,Danville,CA,94526,(925) 269-8626,https://www.danvilleoscenter.com,oral surgery,None / Unknown,unknown,unknown,unknown,unknown,2.57,True,"No accreditation information found on facility website or through searches for AAAHC, Joint Commission, or QUAD A accreditation for Danville Oral Surgery Center at 380 Diablo Road, Danville, CA.",
Aspen Surgical Center,133 La Casa Via,Suite 150,Walnut Creek,CA,94598,(925) 210-8400,,"endoscopy, general surgery",None / Unknown,unknown,unknown,unknown,unknown,4.55,True,No accreditation information found on facility website or third-party directories; Providence Health Plan lists accreditation status as currently not available.,
Walnut Creek Endoscopy and Surgery Center,365 Lennon Lane,Suite 100,Walnut Creek,CA,94598,(925) 939-4600,https://www.sutterhealth.org/find-location/facility/walnut-creek-endoscopy-surgery-center-1043246703,"colonoscopy, endoscopy, pain management, ophthalmology",AAAHC (confirmed),confirmed,confirmed,no,unknown,5.08,True,"The facility's website explicitly states they are accredited by AAAHC. No evidence found of Joint Commission or QUAD A accreditation; the facility is an endoscopy/gastroenterology center, not a plastic surgery center typically associated with QUAD A.",Accredited by AAAHC and CMS; Sutter Health affiliated
Walnut Creek Endoscopy Center,,,Walnut Creek,CA,,,,"endoscopy, colonoscopy","AAAHC (confirmed), Joint Commission (likely)",confirmed,confirmed,likely,no,4.79,True,"AAAHC accreditation confirmed on Sutter Health website and Yelp. One third-party directory claimed Joint Commission accreditation, but official facility sources only mention AAAHC. No evidence of QUAD A/AAAASF accreditation found; this is an endoscopy center, not a plastic surgery facility.",Listed on US News as separate from Walnut Creek Endoscopy and Surgery Center
Laser Surgery Center Ltd,2021 Ygnacio Valley Road,Bldg H102,Walnut Creek,CA,94598,(925) 944-9400,,,None / Unknown,unknown,unknown,unknown,unknown,4.75,True,"Laser Surgery Center Ltd is confirmed as Medicare/CMS certified ASC in Walnut Creek, but no evidence found for AAAHC, Joint Commission, or QUAD A accreditation in available sources.",
San Ramon Endoscopy Center,5801 Norris Canyon Road,#220,San Ramon,CA,94583,(925) 275-9910,,"endoscopy, gastroenterology",None / Unknown,unknown,unknown,unknown,unknown,6.48,True,"The facility's website and multiple third-party sources confirm Medicare certification but do not mention AAAHC, Joint Commission, or QUAD A accreditation. No accreditation by these bodies was found in searches.",
TreSanti Surgery Center,5201 Norris Canyon Terrace,#100,San Ramon,CA,94583,,,,AAAHC (confirmed),confirmed,confirmed,unknown,unknown,5.96,True,"TreSanti Surgery Center's website confirms AAAHC accreditation. No evidence found for Joint Commission or QUAD A accreditation in website, directory searches, or online sources.",
