warmth_score,name,address,suite,city,state,zip,phone,website,services,accreditation_summary,overall_confidence,accreditation_aaahc,accreditation_joint_commission,accreditation_quad_a,has_anesthesia_director,has_named_anesthesia_group,anesthesia_partner_name,anesthesia_quote,distance_miles,within_radius,evidence,notes
85,Walnut Creek Endoscopy and Surgery Center,,,Walnut Creek,CA,,,https://www.sutterhealth.org,"endoscopy, general surgery",AAAHC (confirmed),confirmed,confirmed,no,no,False,False,,"You will likely receive separate bills: from the ASC (facility fee), from the Surgeon, and from the Anesthesiologist.",4.79,True,Facility website explicitly states accreditation by AAAHC and also won AAAHC Kershner QI Award in 2025. No Joint Commission or QUAD A accreditation found.,Sutter Health facility
78,Blackhawk Surgery Center,3600 Blackhawk Plaza Circle,,Danville,CA,94506,,https://www.blackhawkplasticsurgery.com,"plastic surgery, cosmetic surgery",QUAD A (confirmed),confirmed,no,no,confirmed,False,False,,"Dr. Ronan works exclusively with a highly experienced, Board Certified Anesthesiologist for all surgeries in the Blackhawk Surgery Center.",5.72,True,Blackhawk Surgery Center is accredited by AAAASF (QUAD A) and Medicare according to multiple sources including their website and Yelp profile. No evidence found for AAAHC or Joint Commission accreditation.,"Fully accredited ambulatory surgery center (AAAASF and Medicare), on-site at Blackhawk Plastic Surgery & MedSpa"
72,BASS Surgery Center,,,Walnut Creek,CA,,,https://basssurgerycenter.com,multi-specialty,AAAHC (confirmed),confirmed,confirmed,no,no,False,False,,Ryu is also an amazing anesthesiologist,4.79,True,BASS Surgery Center's website explicitly states they are accredited by AAAHC (Accreditation Association for Ambulatory Health Care). No evidence found of Joint Commission or QUAD A accreditation.,Affiliated with BASS Medical Group
68,Walnut Creek Endoscopy Center,365 Lennon Lane,,Walnut Creek,CA,94598,,,"gastroenterology, endoscopy","AAAHC (confirmed), Joint Commission (likely)",confirmed,confirmed,likely,no,False,False,,Dr B (anesthesiologist) both talked to me before the procedure to explain what they would do and answer all my questions.,5.08,True,"Facility is confirmed AAAHC accredited per Sutter Health website and won a 2025 AAAHC Kershner QI Award. One third-party source mentions Joint Commission accreditation alongside CMS, but official Sutter sources only reference AAAHC and CMS accreditation.",Affiliated with BASS Medical Group and Gastroenterology Associates of the East Bay
67,"Callista Surgery Center, LLC",355 Lennon Lane,Suite 275,Walnut Creek,CA,94598,925-357-9050,,Ambulatory surgery center,AAAHC (confirmed),confirmed,confirmed,no,no,False,False,,"Our surgeons and anesthesiologists are highly trained, experienced, and board certified, completing some of the most rigorous training available in their fields.",5.06,True,Callista Surgery Center explicitly states on their website and partner sites that they are fully accredited by the Accreditation Association for Ambulatory Health Care (AAAHC). No evidence found for Joint Commission or QUAD A accreditation.,Found via npino.com NPI registry at 355 Lennon Lane (adjacent building to 365). NPI: 1144090390
63,Premier Surgery Center,2222 East Street,Suite 200,Concord,CA,94520,(925) 691-5000,,multi-specialty,QUAD A (confirmed),confirmed,no,no,confirmed,False,False,,The anesthesiologists at Premier Surgery Center are board-certified and have many years of experience with both cosmetic and reconstructive procedures.,8.61,True,Premier Surgery Center is accredited by AAAASF (QUAD A) per Dr. Mariotti's website. Generic mentions of board-certified anesthesiologists found but no specific anesthesia group or director named.,Different suite than Diablo Plaza Surgery Center at same address
55,TreSanti Surgery Center,5201 Norris Canyon Terrace,Suite 100,San Ramon,CA,94583,,,multi-specialty,AAAHC (confirmed),confirmed,confirmed,no,no,False,False,,Specialties: Anesthesiologist,5.96,True,Facility website explicitly states 'Our facility is accredited by Accreditation Association of Ambulatory Health Care.' No evidence found for Joint Commission or QUAD A accreditation.,
55,Redwood Surgery Center,,,Castro Valley,CA,,,,"spine surgery, minimally invasive procedures",AAAHC (confirmed),confirmed,confirmed,no,no,False,False,,"shorter-acting anesthesia is used when the patient is undergoing surgery, which allows for an easier recovery",11.04,True,AAAHC accreditation confirmed via CalSpine MD physician website stating Redwood Surgery Center is accredited by the Accreditation Association for Ambulatory Health Care. No evidence found for Joint Commission or QUAD A accreditation.,"AAAHC accredited, used by CalSpine MD physicians"
50,Hacienda Surgery Center,4626 Willow Road,Suite 100,Pleasanton,CA,94588,,,multi-specialty,AAAHC (confirmed),confirmed,confirmed,no,no,False,False,,"You will likely receive separate bills: from the ASC (facility fee), from the Surgeon, and from the Anesthesiologist.",12.66,True,Facility website states 'Our facility is accredited by Association for Ambulatory Health Care' (AAAHC alias). No evidence found for Joint Commission or QUAD A accreditation.,
47,Gladstone Clinic,,,Danville,CA,,,https://www.gladstoneclinic.com,"cosmetic surgery, dermatologic surgery, skin cancer treatment",None / Unknown,unknown,no,no,no,False,False,,Dr. Gladstone was one of the first pioneers to develop the facelift under local anesthesia,2.66,True,"No accreditation found in any of the three accreditation directories searched (AAAHC, Joint Commission, or QUAD A). Website and BBB profile indicate office-based dermatology and cosmetic surgery practice that performs procedures under local anesthesia only.",Office-based surgery center
