warmth_score,name,address,suite,city,state,zip,phone,website,services,accreditation_summary,overall_confidence,accreditation_aaahc,accreditation_joint_commission,accreditation_quad_a,has_anesthesia_director,has_named_anesthesia_group,anesthesia_partner_name,anesthesia_quote,distance_miles,within_radius,evidence,notes
100,Advanced Surgical Institute,19671 Beach Blvd,Suite 321,Huntington Beach,CA,92648,(800) 235-1234,http://theadvancedsurgicalinstitute.com/,"plastic surgery, general surgery, multi-specialty",AAAHC (confirmed),confirmed,confirmed,no,no,False,False,,The anesthesia care will be given by and/or supervised by an accredited anesthesiologist.,2.89,True,Facility news page explicitly states 'ASI has been accredited for a three year term by AAAHC.' No evidence found for Joint Commission or QUAD A accreditation.,Fellowship trained and board certified surgeons
100,Coast Surgery Center,,,Huntington Beach,CA,,(855) 263-9968,https://www.coastsurgicalcenter.com/,"plastic surgery, cosmetic surgery, bariatric surgery",AAAHC (confirmed),confirmed,confirmed,no,no,False,False,,,2.69,True,The facility's About page at coastsurgerycenter.com explicitly states 'Our facility is accredited by Accreditation Association for Ambulatory Health Care.' No evidence found for Joint Commission or QUAD A accreditation.,"Offers tummy tucks, breast augmentation, gastric procedures"
96,California Aesthetic Center,17742 Beach Blvd,Suite 335,Huntington Beach,CA,92647,(714) 848-1133,https://stevevumd.com/,"plastic surgery, cosmetic surgery",QUAD A (confirmed),confirmed,no,no,confirmed,,,,Day of Surgery: Performed in our accredited private surgery center under anesthesia; procedure takes 1–2 hours,1.3,True,Mosaic Surgery Center is explicitly stated as AAAASF-accredited on their website and confirmed in third-party directories. No evidence found for AAAHC or Joint Commission accreditation.,"Dr. Steve T. Vu, operates at Golden Triangle Surgicenter"
90,Pacific Coast Spine Institute & Pain Center,17742 Beach Boulevard,Suite 244,Huntington Beach,CA,92647,(714) 847-3666,https://pacificcoastspineandpain.com/,"spine surgery, pain management",AAAHC (confirmed),confirmed,confirmed,no,no,False,False,,"Led by Dr. Rahbar, a highly experienced anesthesiologist and Board Certified in Pain Management, our team utilizes advanced technology to diagnose and treat all pain conditions.",1.3,True,Website has dedicated AAAHC Accreditation page and states they have a fully accredited surgery center. No evidence of Joint Commission or QUAD A accreditation found.,Multi-tenant building with multiple practices
74,Newport Bay Surgery Center,,,Newport Beach,CA,,,www.newportbaysc.com,"ophthalmology, eye surgery",AAAHC (confirmed),confirmed,confirmed,no,no,False,False,,"All decisions from equipment, to nursing staff, to the anesthesiologists, and more have been determined by the center's physicians.",8.14,True,"Newport Bay Surgery Center's website states it has been awarded a certificate of accreditation by the Accreditation Association for Ambulatory Health Care, Inc. No evidence found for Joint Commission or QUAD A accreditation.","HFAP accredited, Medicare certified, used by Beach Eye"
73,Pacific Endoscopy and Surgery Center,17815 Newhope St,Suite R,Fountain Valley,CA,92708,,,"colonoscopy, endoscopy, gastroenterology",AAAHC (confirmed),confirmed,confirmed,no,no,False,False,,,4.19,True,Facility website explicitly states accreditation by Accreditation Association for Ambulatory Health Care. No evidence found of Joint Commission or QUAD A accreditation in website content or third-party sources.,"US News listed, 86% patient satisfaction rating"
68,Sun Surgery Center,17742 Beach Boulevard,Suite 335,Huntington Beach,CA,92647,,http://sunsurgerycenter.com/,multi-specialty ambulatory surgery,QUAD A (confirmed),confirmed,no,no,confirmed,False,False,,,1.3,True,"Website explicitly states 'Sun Surgery Center is fully accredited by Quad A, a leading healthcare accreditation organization.' No evidence found of AAAHC or Joint Commission accreditation.","Quad A accredited, CMS certified"
60,Coastal Surgery Center,,,Huntington Beach,CA,92647,,,ambulatory surgery,AAAHC (confirmed),confirmed,confirmed,no,no,False,False,,,2.69,True,Coast Surgery Center's website at coastsurgerycenter.com states 'Our facility is accredited by Accreditation Association for Ambulatory Health Care.' No Joint Commission or QUAD A accreditation found.,Listed on NewChoiceHealth
60,South Coast Specialty Surgery Center,,,Fountain Valley,CA,,,,specialty surgery,"AAAHC (confirmed), Joint Commission (confirmed)",confirmed,confirmed,confirmed,no,False,False,,"With a team of experienced surgeons, anesthesiologists, nurses, consultants, and aftercare staff, the South Coast Specialty Surgery Center is Orange County's top outpatient bariatric surgery center.",2.57,True,The facility is accredited by both AAAHC and Joint Commission (TJC) according to multiple sources including their Yelp listing and marketing materials from Dynamo Web Solutions.,Listed on Yelp
60,Plastic Surgery Institute of California,19671 Beach Blvd,300,Huntington Beach,CA,92648,(800) 566-5473,https://plasticsurgeryinstituteofcalifornia.com/,"Plastic surgery, facelift, tummy tuck, liposuction, Brazilian butt augmentation, mommy makeovers, breast augmentation, breast lifts, dermatology, rhinoplasty, breast reductions",None / Unknown,unknown,unknown,unknown,unknown,False,False,,This procedure effectively addresses concerns related to significant breast reduction surgery and is performed under general anesthesia by our skilled surgical team.,2.89,True,"Facility claims to be 'fully accredited' on Yelp and in multiple sources but does not specify which accrediting body (AAAHC, Joint Commission, or QUAD A) on their website or in available online materials.",Found via web search at same address in Suite 300; has accredited surgical center according to Yelp listing
